,Vocab,Syllables
2726,northern,2.0
2727,held,1.0
2728,town,1.0
2729,shimmer,2.0
2730,southbound,2.0
2731,tryst,1.0
2732,plunge,1.0
2733,awakens,3.0
2734,potpourri,3.0
2735,Fragrant,2.0
2736,painter,2.0
2737,love,1.0
2738,aah,1.0
2739,kidney,2.0
2740,therapy,3.0
2741,sixty,2.0
2742,display,2.0
2743,strokes,1.0
2744,farmer,2.0
2745,Spring,1.0
2746,wood,1.0
2747,main,1.0
2748,graveyard,2.0
2749,petrol,2.0
2750,t,1.0
2751,ballast,2.0
2752,hedge,1.0
2753,dock,1.0
2754,tomcat,2.0
2755,bathes,1.0
2756,Looking,2.0
2757,Good,1.0
2758,oak,1.0
2759,eyeing,2.0
2760,solo,2.0
2761,statue's,2.0
2762,chimes,1.0
2763,horizon,3.0
2764,raindrops,2.0
2765,icier,3.0
2766,hammers,2.0
2767,person,2.0
2768,blueberries,3.0
2769,ceiling,2.0
2770,outside,2.0
2771,winter,2.0
2772,pray,1.0
2773,pigeons,2.0
2774,slender,2.0
2775,persimmon,3.0
2776,Hazy,2.0
2777,morning,2.0
2778,breakup,2.0
2779,windstorm,2.0
2780,follows,2.0
2781,walk,1.0
2782,rusty,2.0
2783,swathed,1.0
2784,reminder,3.0
2785,bangs,1.0
2786,is,1.0
2787,waking,2.0
2788,backyard,2.0
2789,feather,2.0
2790,cursing,2.0
2791,addressed,2.0
2792,lizard,2.0
2793,conditioner,4.0
2794,unmown,2.0
2795,may,1.0
2796,treasures,2.0
2797,bleeds,1.0
2798,monarch,2.0
2799,pickle,2.0
2800,exit,2.0
2801,answers,2.0
2802,Greyhound,2.0
2803,mushroom,2.0
2804,Winter,2.0
2805,Mart,1.0
2806,sets,1.0
2807,chrome,1.0
2808,windows,2.0
2809,satin,2.0
2810,take,1.0
2811,driver,2.0
2812,aster,2.0
2813,sigh,1.0
2814,yesterday,3.0
2815,music,2.0
2816,sur,1.0
2817,slower,2.0
2818,jeans,1.0
2819,gumboot,2.0
2820,doesn't,1.0
2821,Dow,1.0
2822,assembled,3.0
2823,shake,1.0
2824,height,1.0
2825,Fat,1.0
2826,tosses,2.0
2827,misty,2.0
2828,ill,1.0
2829,cloud's,
2830,grass,1.0
2831,cord,1.0
2832,octaves,2.0
2833,plume,1.0
2834,creaks,1.0
2835,nape,1.0
2836,pre,1.0
2837,oceans,2.0
2838,prairie,2.0
2839,dividends,3.0
2840,hats,1.0
2841,orchids,2.0
2842,shop,1.0
2843,cement,2.0
2844,jay's,1.0
2845,drought's,1.0
2846,freckle,2.0
2847,float,1.0
2848,return,2.0
2849,seminar,3.0
2850,friends,1.0
2851,photo,2.0
2852,hawk,1.0
2853,mirror,2.0
2854,footbridge,2.0
2855,secondhand,3.0
2856,Presidents',3.0
2857,peony,3.0
2858,daybreak,2.0
2859,inscription,3.0
2860,deny,2.0
2861,swallow's,
2862,godless,2.0
2863,sown,1.0
2864,leaning,2.0
2865,erosion,3.0
2866,behind,2.0
2867,muscles,2.0
2868,pressure,2.0
2869,gaza,2.0
2870,lap,1.0
2871,talks,1.0
2872,slight,1.0
2873,cares,1.0
2874,Pressed,1.0
2875,spell,1.0
2876,die,1.0
2877,toddler,2.0
2878,equinox,3.0
2879,sprayed,1.0
2880,Full,1.0
2881,Till's,
2882,dollhouse,2.0
2883,week,1.0
2884,spruce,1.0
2885,mesmerized,3.0
2886,viagra,3.0
2887,gust,1.0
2888,laborer,3.0
2889,Time,1.0
2890,carefully,3.0
2891,glasses,2.0
2892,flows,1.0
2893,connect,2.0
2894,son,1.0
2895,acquaintances,4.0
2896,odors,2.0
2897,bars,1.0
2898,leaves,1.0
2899,constants,2.0
2900,temper,2.0
2901,body,2.0
2902,social,2.0
2903,rounds,1.0
2904,chest,1.0
2905,sourdough,2.0
2906,Court,1.0
2907,selfies,
2908,steps,1.0
2909,seeking,2.0
2910,heels,1.0
2911,searcher's,2.0
2912,passion,2.0
2913,compare,2.0
2914,boundary,3.0
2915,why,1.0
2916,sleet,1.0
2917,rimmed,1.0
2918,downpours,2.0
2919,cove,1.0
2920,help,1.0
2921,Valentine,3.0
2922,tar,1.0
2923,humid,2.0
2924,nurse,1.0
2925,foot,1.0
2926,reflects,2.0
2927,foxes,2.0
2928,cholesterol,4.0
2929,poetry,3.0
2930,ink,1.0
2931,whale,1.0
2932,dewdrops,2.0
2933,attention,3.0
2934,direction,3.0
2935,archive,2.0
2936,treat,1.0
2937,gunport,2.0
2938,ears,1.0
2939,azaleas,3.0
2940,tracing,2.0
2941,catalog,3.0
2942,raking,2.0
2943,planet,2.0
2944,Sunday,2.0
2945,hesitant,3.0
2946,slipping,2.0
2947,penetrating,4.0
2948,single,2.0
2949,dumpster,2.0
2950,a,1.0
2951,widescreen,2.0
2952,thighs,1.0
2953,dictionary,4.0
2954,bullfrogs,2.0
2955,sliding,2.0
2956,born,1.0
2957,epitaph,3.0
2958,shadow,2.0
2959,reed,1.0
2960,dancing,2.0
2961,mown,1.0
2962,shining,2.0
2963,offshoring,3.0
2964,hindsight,2.0
2965,mating,2.0
2966,nowhere,2.0
2967,tombstones,2.0
2968,skaters',
2969,wildflowers,3.0
2970,My,1.0
2971,billboard,2.0
2972,within,2.0
2973,biker,2.0
2974,fill,1.0
2975,entertainment,4.0
2976,going,2.0
2977,pasted,2.0
2978,discolored,3.0
2979,swans,1.0
2980,tense,1.0
2981,avalanche,3.0
2982,string,1.0
2983,children,2.0
2984,palace,2.0
2985,another,3.0
2986,stop,1.0
2987,trimming,2.0
2988,Gettysburg,3.0
2989,pain,1.0
2990,before,2.0
2991,unpacking,3.0
2992,hermitage,3.0
2993,sweethearts,2.0
2994,shed,1.0
2995,swale,1.0
2996,whatever,3.0
2997,stick,1.0
2998,or,1.0
2999,flutter,2.0
3000,opossum,3.0
3001,stare,1.0
3002,choked,1.0
3003,club,1.0
3004,overripe,3.0
3005,ear,1.0
3006,Omaha,3.0
3007,uphill,2.0
3008,glossy,2.0
3009,Paul,1.0
3010,refilling,3.0
3011,meteors,3.0
3012,holding,2.0
3013,burnt,1.0
3014,To,1.0
3015,monarchs,2.0
3016,tired,1.0
3017,undecided,4.0
3018,sprouts,1.0
3019,murder,2.0
3020,perfume,2.0
3021,color,2.0
3022,other's,2.0
3023,snow,1.0
3024,memorial's,
3025,fountain,2.0
3026,sleep,1.0
3027,talk,1.0
3028,fireflies,2.0
3029,loosen,2.0
3030,instant,2.0
3031,glasses,2.0
3032,migrating,3.0
3033,curl,1.0
3034,spent,1.0
3035,sighs,1.0
3036,flame,1.0
3037,porcelain,3.0
3038,one,1.0
3039,undulating,4.0
3040,sparrow's,2.0
3041,venus,2.0
3042,heading,2.0
3043,hurried,2.0
3044,refrain,2.0
3045,finger,2.0
3046,fifteenth,2.0
3047,whistle,2.0
3048,head,1.0
3049,bottles,2.0
3050,shrouded,2.0
3051,brother's,2.0
3052,mockingbird,3.0
3053,bodies,2.0
3054,tick,1.0
3055,faux,1.0
3056,sunrise,2.0
3057,camel's,2.0
3058,gaps,1.0
3059,formation,3.0
3060,ivy,2.0
3061,nighthawk,2.0
3062,against,2.0
3063,guitar,2.0
3064,lot,1.0
3065,lobby,2.0
3066,crescent's,2.0
3067,Staining,2.0
3068,slice,1.0
3069,courthouse,2.0
3070,fall,1.0
3071,birth,1.0
3072,Hudson,2.0
3073,checking,2.0
3074,chopping,2.0
3075,rubbish,2.0
3076,huddled,2.0
3077,china,2.0
3078,music,2.0
3079,loses,2.0
3080,unexplained,3.0
3081,uncombed,2.0
3082,resumes,2.0
3083,hanging,2.0
3084,spin,1.0
3085,you,1.0
3086,fingernail,3.0
3087,ah,1.0
3088,midday,2.0
3089,depths,1.0
3090,tide,1.0
3091,spaniel's,
3092,hums,1.0
3093,ash,1.0
3094,ice,1.0
3095,Alka,2.0
3096,mulberry,3.0
3097,camp,1.0
3098,also,2.0
3099,blossoming,3.0
3100,tying,2.0
3101,complex,2.0
3102,veranda,3.0
3103,Erie,2.0
3104,recurring,3.0
3105,toothless,2.0
3106,enough,2.0
3107,veils,1.0
3108,Still,1.0
3109,bamboo,2.0
3110,shortening,3.0
3111,Moon,1.0
3112,belt,1.0
3113,sharia,3.0
3114,whispered,2.0
3115,roots,1.0
3116,Reserved,2.0
3117,hashtags,
3118,Columbus,3.0
3119,wrong,1.0
3120,struggle,2.0
3121,thrush,1.0
3122,Mars,1.0
3123,madeleine,3.0
3124,neighbour,2.0
3125,guess,1.0
3126,sparkling,2.0
3127,lighter,2.0
3128,wheels,1.0
3129,star,1.0
3130,gone,1.0
3131,obsidian,4.0
3132,debt,1.0
3133,falcon's,2.0
3134,novocain,3.0
3135,mast,1.0
3136,friday,2.0
3137,beetle,2.0
3138,stubbled,2.0
3139,mortgage,2.0
3140,pausing,2.0
3141,extreme,2.0
3142,game,1.0
3143,unanswered,3.0
3144,Budapest,3.0
3145,aiming,2.0
3146,bloom,1.0
3147,octopus,3.0
3148,cactus,2.0
3149,boardwalking,
3150,dead,1.0
3151,menopause,3.0
3152,walking,2.0
3153,pouring,2.0
3154,orb,1.0
3155,Oxford,2.0
3156,bar,1.0
3157,new,1.0
3158,neighbors,2.0
3159,cease,1.0
3160,lamp,1.0
3161,reach,1.0
3162,ritual,3.0
3163,ripe,1.0
3164,potted,2.0
3165,whipped,1.0
3166,heather,2.0
3167,unscratched,2.0
3168,Manitoba,4.0
3169,psilocybin,4.0
3170,piss,1.0
3171,skies,1.0
3172,shocked,1.0
3173,ultrasound,3.0
3174,greening,2.0
3175,whispers,2.0
3176,sawdust,2.0
3177,mildew,2.0
3178,pill,1.0
3179,waitress,2.0
3180,cry,1.0
3181,broken,2.0
3182,sauna,2.0
3183,sacred,2.0
3184,cover,2.0
3185,realigning,4.0
3186,singing,2.0
3187,tooth,1.0
3188,light,1.0
3189,together,3.0
3190,straight,1.0
3191,Gone,1.0
3192,float,1.0
3193,rising,2.0
3194,Nun,1.0
3195,teenager,3.0
3196,lifting,2.0
3197,limp,1.0
3198,eases,2.0
3199,pumpkin's,2.0
3200,tarn,1.0
3201,somewhere,2.0
3202,le,1.0
3203,memory,3.0
3204,dusty,2.0
3205,London,2.0
3206,vet,1.0
3207,steam,1.0
3208,measured,2.0
3209,snowfall,2.0
3210,abandoned,3.0
3211,waning,2.0
3212,locking,2.0
3213,dot,1.0
3214,patter,2.0
3215,safely,2.0
3216,dress,1.0
3217,bacon,2.0
3218,wings,1.0
3219,already,3.0
3220,cashier's,3.0
3221,relentless,3.0
3222,common,2.0
3223,year,1.0
3224,hovers,2.0
3225,Country,2.0
3226,unripe,2.0
3227,magazine,3.0
3228,fingerprints,3.0
3229,boyfriends,3.0
3230,bra,1.0
3231,wakened,2.0
3232,hides,1.0
3233,chickpea,2.0
3234,Lights,1.0
3235,persistent,3.0
3236,frames,1.0
3237,child's,1.0
3238,foreign,2.0
3239,next,1.0
3240,bit,1.0
3241,mailed,1.0
3242,penetrates,3.0
3243,smoky,2.0
3244,buttercup,3.0
3245,stretching,2.0
3246,priced,1.0
3247,Intrepid,3.0
3248,afternoon,3.0
3249,spilling,2.0
3250,Cracked,1.0
3251,Wind,1.0
3252,sandpiper,3.0
3253,loaded,2.0
3254,gun,1.0
3255,Smell,1.0
3256,pregnancy,3.0
3257,pulling,2.0
3258,scarf,1.0
3259,jury,2.0
3260,peach,1.0
3261,midsummer,3.0
3262,Through,1.0
3263,chewing,2.0
3264,corral,2.0
3265,corrugated,4.0
3266,break,1.0
3267,Another,3.0
3268,Maine,1.0
3269,flickering,3.0
3270,In,1.0
3271,hungry,2.0
3272,they,1.0
3273,Martin,2.0
3274,wedding,2.0
3275,granite,2.0
3276,grave,1.0
3277,rails,1.0
3278,feeders,2.0
3279,raised,1.0
3280,tannins,2.0
3281,clutches,2.0
3282,island,2.0
3283,firecracker,3.0
3284,parting,2.0
3285,windows,2.0
3286,Spring,1.0
3287,knights,1.0
3288,we'll,1.0
3289,factory,3.0
3290,skipped,1.0
3291,withdrawing,3.0
3292,cemetery,4.0
3293,hues,1.0
3294,approaching,3.0
3295,gliding,2.0
3296,tubes,1.0
3297,images,3.0
3298,promise,2.0
3299,I,1.0
3300,garlic,2.0
3301,tarmac,2.0
3302,struggling,2.0
3303,Alzheimer's,3.0
3304,unopened,3.0
3305,major,2.0
3306,resin,2.0
3307,baking,2.0
3308,soon,1.0
3309,growing,2.0
3310,hand's,1.0
3311,blues,1.0
3312,dies,1.0
3313,god,1.0
3314,caterpillar,4.0
3315,espalier,3.0
3316,lune,1.0
3317,gunfire,2.0
3318,pickup,2.0
3319,rhododendrons,4.0
3320,hikers,2.0
3321,Museum,3.0
3322,jacket,2.0
3323,protestors,3.0
3324,cut,1.0
3325,cake,1.0
3326,faces,2.0
3327,migrant,2.0
3328,holes,1.0
3329,painkillers,3.0
3330,google,2.0
3331,matches,2.0
3332,failed,1.0
3333,contemplating,4.0
3334,winter's,2.0
3335,lift,1.0
3336,coughing,2.0
3337,scale,1.0
3338,pipistrelle's,
3339,list,1.0
3340,glittering,3.0
3341,overtaken,4.0
3342,closet,2.0
3343,brussel,2.0
3344,eaves,1.0
3345,eggs,1.0
3346,sharpens,2.0
3347,needles,2.0
3348,salad,2.0
3349,ethanol,3.0
3350,popcorn,2.0
3351,classes,2.0
3352,won't,1.0
3353,sorted,2.0
3354,quit,1.0
3355,umbrella,3.0
3356,gleams,1.0
3357,lingers,2.0
3358,kiss,1.0
3359,tinnitus,3.0
3360,summer's,2.0
3361,breath,1.0
3362,forgets,2.0
3363,envelope,3.0
3364,haze,1.0
3365,peonies,3.0
3366,pond,1.0
3367,mailman's,
3368,neighbour's,2.0
3369,Lantern,2.0
3370,overgrown,3.0
3371,slats,1.0
3372,story,2.0
3373,storm,1.0
3374,seats,1.0
3375,pebbles,2.0
3376,but,1.0
3377,monotonous,4.0
3378,slugs,1.0
3379,crawls,1.0
3380,us,1.0
3381,rouge,1.0
3382,falling,2.0
3383,sundays,2.0
3384,flashes,2.0
3385,perplexed,2.0
3386,escape,2.0
3387,vision,2.0
3388,Easter,2.0
3389,manure,2.0
3390,plan,1.0
3391,rat,1.0
3392,including,3.0
3393,swallows,2.0
3394,digs,1.0
3395,iced,1.0
3396,comet's,2.0
3397,wolf,1.0
3398,firelight,2.0
3399,ligustrum,3.0
3400,chime,1.0
3401,sells,1.0
3402,perches,2.0
3403,cherries,2.0
3404,childhood,2.0
3405,brought,1.0
3406,pine,1.0
3407,mound,1.0
3408,logs,1.0
3409,crazy,2.0
3410,tiles,1.0
3411,eerie,2.0
3412,grandchild,2.0
3413,pumpkin,2.0
3414,drank,1.0
3415,lidless,2.0
3416,TV,2.0
3417,chemo,2.0
3418,happened,2.0
3419,unkempt,2.0
3420,someone,2.0
3421,roots,1.0
3422,chi,1.0
3423,slip,1.0
3424,hooker,2.0
3425,thank,1.0
3426,sex,1.0
3427,shapes,1.0
3428,dribbles,2.0
3429,Saints,1.0
3430,garbage,2.0
3431,Mekong,2.0
3432,Buddhist,2.0
3433,wires,1.0
3434,innumerable,5.0
3435,simmers,2.0
3436,wheel,1.0
3437,newborn,2.0
3438,movements,2.0
3439,doses,2.0
3440,remaining,3.0
3441,strike,1.0
3442,jagged,2.0
3443,motionless,3.0
3444,dog,1.0
3445,smudges,2.0
3446,Provence,2.0
3447,coin,1.0
3448,blankets,2.0
3449,snow,1.0
3450,Flank,1.0
3451,pointe,1.0
3452,newborn,2.0
3453,gnome's,
3454,firework,2.0
3455,dog,1.0
3456,ravens,2.0
3457,ridges,2.0
3458,arrange,2.0
3459,roosters,2.0
3460,detainees',
3461,owners,2.0
3462,bottle,2.0
3463,gravel,2.0
3464,dissolves,2.0
3465,didn't,1.0
3466,guest,1.0
3467,mars,1.0
3468,might,1.0
3469,Explorer,3.0
3470,plucks,1.0
3471,drowns,1.0
3472,flashing,2.0
3473,fireflies,2.0
3474,now,1.0
3475,sensual,3.0
3476,Eleven,3.0
3477,unsaid,2.0
3478,twilight,2.0
3479,grain,1.0
3480,presents,2.0
3481,dusk,1.0
3482,fissures,2.0
3483,leaving,2.0
3484,snowdrops,2.0
3485,fires,1.0
3486,us,1.0
3487,gold,1.0
3488,neon,2.0
3489,enter,2.0
3490,beaver,2.0
3491,overalls,3.0
3492,puddle,2.0
3493,lake,1.0
3494,thunderstorm,3.0
3495,converting,3.0
3496,joining,2.0
3497,snowdrift,2.0
3498,dockside,2.0
3499,except,2.0
3500,steak,1.0
3501,western,2.0
3502,sipping,2.0
3503,inhibitions,4.0
3504,loosely,2.0
3505,ran,1.0
3506,wars,1.0
3507,house,1.0
3508,dreaming,2.0
3509,yellow,2.0
3510,letters,2.0
3511,curly,2.0
3512,interview,3.0
3513,quiet,2.0
3514,butterfly's,3.0
3515,ranch,1.0
3516,vase,1.0
3517,shop,1.0
3518,shelter,2.0
3519,time,1.0
3520,call,1.0
3521,Morning,2.0
3522,colour,2.0
3523,drone,1.0
3524,sodium,3.0
3525,punctured,2.0
3526,passionate,3.0
3527,drop,1.0
3528,reflection,3.0
3529,guardrail,2.0
3530,On,1.0
3531,imagine,3.0
3532,falsetto,3.0
3533,cinnamon,3.0
3534,unsolved,2.0
3535,spattered,2.0
3536,asian,2.0
3537,death,1.0
3538,landfill,2.0
3539,ticks,1.0
3540,increases,3.0
3541,sip,1.0
3542,hue,1.0
3543,response,2.0
3544,copper,2.0
3545,corrects,2.0
3546,down,1.0
3547,common,2.0
3548,life,1.0
3549,voter,2.0
3550,crosses,2.0
3551,Buddha,2.0
3552,stripping,2.0
3553,couldn't,1.0
3554,called,1.0
3555,wasting,2.0
3556,Crows,1.0
3557,guests,1.0
3558,guns,1.0
3559,box,1.0
3560,baker,2.0
3561,code,1.0
3562,foliage,3.0
3563,slam,1.0
3564,hawk's,1.0
3565,mackerel,3.0
3566,pub,1.0
3567,seniors',
3568,Midnight,2.0
3569,burning,2.0
3570,sunbird,2.0
3571,Cloud,1.0
3572,sunny,2.0
3573,noise,1.0
3574,pressed,1.0
3575,book,1.0
3576,stain,1.0
3577,solitude,3.0
3578,wayside,2.0
3579,nude,1.0
3580,moisture,2.0
3581,trellis,2.0
3582,bursts,1.0
3583,remembrance,3.0
3584,ditches,2.0
3585,closer,2.0
3586,forgetting,3.0
3587,cat's,1.0
3588,chill,1.0
3589,gossip,2.0
3590,eat,1.0
3591,apologies,4.0
3592,sips,1.0
3593,august,2.0
3594,goldfish,2.0
3595,stepping,2.0
3596,gong,1.0
3597,mudslide,2.0
3598,locked,1.0
3599,Old,1.0
3600,counting,2.0
3601,Week,1.0
3602,squeegees,2.0
3603,sung,1.0
3604,blackbird,2.0
3605,chimneys,2.0
3606,fingers,2.0
3607,wind,1.0
3608,shaky,2.0
3609,pours,1.0
3610,ancestor,3.0
3611,blaze,1.0
3612,snuffed,1.0
3613,makes,1.0
3614,Pittsburgh,2.0
3615,ray,1.0
3616,linked,1.0
3617,eversoslowly,
3618,cooing,2.0
3619,morning's,2.0
3620,miles,1.0
3621,busy,2.0
3622,shoppers,2.0
3623,levels,2.0
3624,lies,1.0
3625,unused,2.0
3626,rhythm,1.0
3627,pleasantly,3.0
3628,sunbathes,2.0
3629,intersection,4.0
3630,tea,1.0
3631,Las,1.0
3632,perky,2.0
3633,particular,4.0
3634,dormant,2.0
3635,dentist's,2.0
3636,reeds,2.0
3637,nor,1.0
3638,bonfires,2.0
3639,wins,1.0
3640,solders,2.0
3641,bossom,
3642,drink,1.0
3643,shoebox,2.0
3644,used,1.0
3645,turquoise,2.0
3646,winters,2.0
3647,wheel's,
3648,Dipper,2.0
3649,adoption,3.0
3650,paupers',
3651,snake's,1.0
3652,surfing,2.0
3653,two,1.0
3654,buddha,2.0
3655,pattern,2.0
3656,seagull,2.0
3657,stroll,1.0
3658,sketchbook,2.0
3659,sour,1.0
3660,sewer,2.0
3661,expanse,2.0
3662,chili,2.0
3663,bounce,1.0
3664,months,1.0
3665,purple,2.0
3666,sidewalk,2.0
3667,grains,1.0
3668,unkind,2.0
3669,am,1.0
3670,climbs,1.0
3671,multicolored,4.0
3672,country,2.0
3673,Autumn's,2.0
3674,Way,1.0
3675,beset,2.0
3676,spots,1.0
3677,sinks,1.0
3678,prices,2.0
3679,wifi,2.0
3680,Libya,3.0
3681,twinkle,2.0
3682,birds,1.0
3683,wavelets,2.0
3684,taking,2.0
3685,husband,2.0
3686,pensioners,3.0
3687,rain,1.0
3688,wall,1.0
3689,comforting,3.0
3690,Milky,2.0
3691,herself,2.0
3692,tops,1.0
3693,Holy,2.0
3694,Thanksgiving,3.0
3695,beware,2.0
3696,opal,2.0
3697,drawn,1.0
3698,contrail,2.0
3699,machines,2.0
3700,heads,1.0
3701,latch,1.0
3702,gown,1.0
3703,workshop,2.0
3704,has,1.0
3705,dangling,2.0
3706,flickers,2.0
3707,downriver,3.0
3708,pomegranates,4.0
3709,familiar,3.0
3710,sunglasses,3.0
3711,family,3.0
3712,darts,1.0
3713,shoulder,2.0
3714,shoulders,2.0
3715,gorse,1.0
3716,magpie's,
3717,evening,2.0
3718,wind,1.0
3719,effaced,2.0
3720,lingerie,3.0
3721,tape,1.0
3722,song,1.0
3723,gun,1.0
3724,bisected,3.0
3725,zealously,3.0
3726,hundreds,2.0
3727,saliva,3.0
3728,emoji,3.0
3729,sweeper,2.0
3730,mature,2.0
3731,rise,1.0
3732,roar,1.0
3733,stirring,2.0
3734,hole,1.0
3735,papam,
3736,distancing,3.0
3737,melancholia,5.0
3738,heaps,1.0
3739,clouds,1.0
3740,stalled,1.0
3741,opposite,3.0
3742,Dead,1.0
3743,lips,1.0
3744,newspaper,3.0
3745,shrinking,2.0
3746,minefield,2.0
3747,chips,1.0
3748,chamomile,3.0
3749,Infinite,3.0
3750,goodbye,2.0
3751,vibrating,3.0
3752,cello,2.0
3753,Third,1.0
3754,puffing,2.0
3755,radish,2.0
3756,dreams,1.0
3757,well,1.0
3758,album,2.0
3759,sinking,2.0
3760,oldest,2.0
3761,mile,1.0
3762,whites,1.0
3763,paintings,2.0
3764,dustpan,2.0
3765,repeat,2.0
3766,rockets,2.0
3767,job,1.0
3768,ya,1.0
3769,fairground,2.0
3770,heels,1.0
3771,amplified,3.0
3772,poem,2.0
3773,urn,1.0
3774,arrives,2.0
3775,dinner,2.0
3776,over,2.0
3777,footprints,2.0
3778,catcher,2.0
3779,samhain,2.0
3780,baths,1.0
3781,lenses,2.0
3782,alzheimer,3.0
3783,pretended,3.0
3784,pudding,2.0
3785,thinking,2.0
3786,coastal,2.0
3787,gardens,2.0
3788,homebrew,2.0
3789,room,1.0
3790,mangoes,2.0
3791,Floating,2.0
3792,mynah,2.0
3793,see,1.0
3794,awake,2.0
3795,season,2.0
3796,schedules,2.0
3797,election,3.0
3798,cheesecake,2.0
3799,lap,1.0
3800,scooping,2.0
3801,thought,1.0
3802,flooded,2.0
3803,ripened,2.0
3804,bluer,2.0
3805,distance,2.0
3806,crowns,1.0
3807,verge,1.0
3808,monochrome,3.0
3809,finished,2.0
3810,frozen,2.0
3811,grandma,2.0
3812,queens,1.0
3813,cleans,1.0
3814,pearls,1.0
3815,famous,2.0
3816,thunderheads,3.0
3817,card,1.0
3818,scattering,3.0
3819,potter,2.0
3820,vespers,2.0
3821,tempest,2.0
3822,Water,2.0
3823,drunk,1.0
3824,bevel,2.0
3825,girls,1.0
3826,snail,1.0
3827,hover,2.0
3828,spitting,2.0
3829,hyacinths,2.0
3830,pursing,2.0
3831,parlor,2.0
3832,mackerels,3.0
3833,cheek,1.0
3834,filigree,3.0
3835,father's,2.0
3836,sniffing,2.0
3837,passport,2.0
3838,absinthe,2.0
3839,blooms,1.0
3840,softened,2.0
3841,blinks,1.0
3842,opinion,3.0
3843,silt,1.0
3844,grandchild's,
3845,dominates,3.0
3846,flipped,1.0
3847,years,1.0
3848,stands,1.0
3849,starry,2.0
3850,fog,1.0
3851,chilled,1.0
3852,snap,1.0
3853,hand,1.0
3854,windscreens,2.0
3855,peace,1.0
3856,damselfly,3.0
3857,twist,1.0
3858,spring,1.0
3859,key,1.0
3860,gruntsagain,
3861,observatory,5.0
3862,warrior's,3.0
3863,smouldering,3.0
3864,this,1.0
3865,combiners,3.0
3866,jam,1.0
3867,Cockney,2.0
3868,release,2.0
3869,in,1.0
3870,practice,2.0
3871,Parting,2.0
3872,Salvation,3.0
3873,trim,1.0
3874,tentative,3.0
3875,live,1.0
3876,beds,1.0
3877,bronze,1.0
3878,la,1.0
3879,undress,2.0
3880,renovation,4.0
3881,autumn,2.0
3882,napkin,2.0
3883,since,1.0
3884,opened,2.0
3885,salted,2.0
3886,guarding,2.0
3887,morning,2.0
3888,mittens,2.0
3889,throw,1.0
3890,seaplane,2.0
3891,henna,2.0
3892,necktie,2.0
3893,flat,1.0
3894,dawn,1.0
3895,exchanging,3.0
3896,kerosene,3.0
3897,wide,1.0
3898,rum,1.0
3899,topless,2.0
3900,possessions,3.0
3901,black,1.0
3902,TRUST,1.0
3903,sunless,2.0
3904,concrete,2.0
3905,sync,1.0
3906,wears,1.0
3907,group,1.0
3908,turkeys,2.0
3909,shopkeeper,3.0
3910,skyline,2.0
3911,sun's,1.0
3912,Puddles,2.0
3913,stopped,1.0
3914,word,1.0
3915,dough,1.0
3916,crypt,1.0
3917,patience,2.0
3918,wipes,1.0
3919,Tropical,3.0
3920,sticky,2.0
3921,repeats,2.0
3922,glassy,2.0
3923,journey,2.0
3924,vagabond,3.0
3925,flavoured,2.0
3926,Remembrance,3.0
3927,nightmares,2.0
3928,through,1.0
3929,smiling,2.0
3930,travel,2.0
3931,write,1.0
3932,pisses,2.0
3933,waffles,2.0
3934,jar,1.0
3935,trucks,1.0
3936,yellowed,2.0
3937,rider,2.0
3938,cutting,2.0
3939,boxes,2.0
3940,Brittle,2.0
3941,mix,1.0
3942,brick,1.0
3943,other,2.0
3944,river,2.0
3945,flowers,2.0
3946,Goodwill,2.0
3947,air,1.0
3948,referee,3.0
3949,bumblebee,3.0
3950,not,1.0
3951,blossom,2.0
3952,friends,1.0
3953,depot,2.0
3954,cold,1.0
3955,warmth,1.0
3956,brokers,2.0
3957,dating,2.0
3958,Gras,1.0
3959,threw,1.0
3960,minutes,2.0
3961,quake,1.0
3962,policeman,3.0
3963,Assembly,3.0
3964,pass,1.0
3965,remember,3.0
3966,fewest,2.0
3967,victims,2.0
3968,allowed,2.0
3969,light,1.0
3970,returns,2.0
3971,bluer,2.0
3972,magnified,3.0
3973,flames,1.0
3974,than,1.0
3975,stilled,1.0
3976,cork,1.0
3977,uniform,3.0
3978,Scents,1.0
3979,browsing,2.0
3980,wants,1.0
3981,bend,1.0
3982,stethoscope,3.0
3983,dusk's,
3984,harmony,3.0
3985,plop,1.0
3986,north,1.0
3987,hotter,2.0
3988,Plum,1.0
3989,husky,2.0
3990,eagle,2.0
3991,temptation,3.0
3992,halo,2.0
3993,puddle,2.0
3994,you,1.0
3995,Express,2.0
3996,emptying,3.0
3997,Big,1.0
3998,fork,1.0
3999,cat,1.0
4000,politics,3.0
4001,half,1.0
4002,Sentinels,3.0
4003,pilot,2.0
4004,laborers,3.0
4005,butterfly,3.0
4006,plastic,2.0
4007,passages,3.0
4008,couple,2.0
4009,trains,1.0
4010,first,1.0
4011,easter,2.0
4012,bedside,2.0
4013,bowl,1.0
4014,packed,1.0
4015,horse,1.0
4016,puff,1.0
4017,attack,2.0
4018,shy,1.0
4019,choice,1.0
4020,haystack,2.0
4021,gathering,3.0
4022,fresh,1.0
4023,cereus,3.0
4024,stump,1.0
4025,stillness,2.0
4026,mixer,2.0
4027,uprooted,3.0
4028,Weed,1.0
4029,enclosed,2.0
4030,she,1.0
4031,paddies,2.0
4032,buddhas,2.0
4033,pension,2.0
4034,monday,2.0
4035,swan,1.0
4036,clothesline,2.0
